Month,Average Viewers,Average Players,,,,,,,,,
Dec-21,61100,546614.20,,,,,,,,,
Nov-21,111000,548161.70,,,,,,,,,
Oct-21,94400,512435.80,,,,,,,,,
Sep-21,85400,512350.90,,,,,,,,,
Aug-21,67000,512082.00,,,,,,,,,
Jul-21,78700,506067.40,,,,,,,,,
Jun-21,77000,549347.10,,,,,,,,,
May-21,102000,659888.90,,,,,,,,,
Apr-21,97300,723346.50,,,,,,,,,
Mar-21,97200,740927.80,,,,,,,,,
Feb-21,101000,741013.20,,,,,,,,,
Jan-21,81900,743209.70,,,,,,,,,
Dec-20,81500,717803.80,,,,,,,,,
Nov-20,84500,668754.60,,,,,,,,,
Oct-20,78700,613666.70,,,,,,,,,
Sep-20,74400,606850.30,,,,,,,,,
Aug-20,64800,639957.70,,,,,,,,,
Jul-20,56400,625900.80,,,,,,,,,
Jun-20,106000,671647.50,,,,,,,,,
May-20,103000,768795.30,,,,,,,,,
Apr-20,121000,857604.20,,,,,,,,,
Mar-20,90000,671033.30,,,,,,,,,
Feb-20,71600,543979.20,,,,,,,,,
Jan-20,45500,501196.00,,,,,,,,,
Dec-19,54400,456701.60,,,,,,,,,
Nov-19,49500,426080.80,,,,,,,,,
Oct-19,60400,408995.30,,,,,,,,,
Sep-19,63800,410925.60,,,,,,,,,
Aug-19,62000,415097.30,,,,,,,,,
Jul-19,54700,393782.80,,,,,,,,,
Jun-19,41900,389376.70,,,,,,,,,
May-19,39900,364417.30,,,,,,,,,
Apr-19,42700,351989.90,,,,,,,,,
Mar-19,47700,390240.20,,,,,,,,,
Feb-19,70500,371359.00,,,,,,,,,
Jan-19,41300,401366.90,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,