Month,Average Viewers,Average Players,,,,,,,,,,
Dec-21,58100,449297.40,,,,,,,,,,
Nov-21,51500,448860.50,,,,,,,,,,
Oct-21,133000,450761.40,,,,,,,,,,
Sep-21,48300,391082.10,,,,,,,,,,
Aug-21,57400,424980.20,,,,,,,,,,
Jul-21,57100,423156.20,,,,,,,,,,
Jun-21,86500,421510.00,,,,,,,,,,
May-21,65400,415145.00,,,,,,,,,,
Apr-21,69100,413785.00,,,,,,,,,,
Mar-21,53700,390412.80,,,,,,,,,,
Feb-21,57900,404832.10,,,,,,,,,,
Jan-21,53200,432671.70,,,,,,,,,,
Dec-20,57700,422552.30,,,,,,,,,,
Nov-20,56900,425904.80,,,,,,,,,,
Oct-20,45100,406361.40,,,,,,,,,,
Sep-20,52900,408609.80,,,,,,,,,,
Aug-20,51400,429717.10,,,,,,,,,,
Jul-20,48300,450214.00,,,,,,,,,,
Jun-20,57200,457184.40,,,,,,,,,,
May-20,68800,484189.00,,,,,,,,,,
Apr-20,75700,493300.30,,,,,,,,,,
Mar-20,56300,437147.40,,,,,,,,,,
Feb-20,50400,405978.70,,,,,,,,,,
Jan-20,59300,378925.40,,,,,,,,,,
Dec-19,46000,384179.80,,,,,,,,,,
Nov-19,48400,401931.80,,,,,,,,,,
Oct-19,40400,388355.90,,,,,,,,,,
Sep-19,35900,421971.20,,,,,,,,,,
Aug-19,95300,467148.30,,,,,,,,,,
Jul-19,55100,464787.60,,,,,,,,,,
Jun-19,59700,507528.40,,,,,,,,,,
May-19,62800,548523.20,,,,,,,,,,
Apr-19,41000,520219.00,,,,,,,,,,
Mar-19,67500,586505.80,,,,,,,,,,
Feb-19,74900,564909.70,,,,,,,,,,
Jan-19,62500,475747.00,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,