Game,Peak Players,Average Viewers,total,Peak Players2,total2
Mass Effect: Legendary Edition,59650,10000,4810000,59.65,4810
HUMANKIND,55232,4500,2710000,55.232,2710
Subnautica: Below Zero,42057,14500,10800000,42.057,10800
Biomutant,36397,12300,5530000,36.397,5530
Guilty Gear: Strive,30939,8800,6260000,30.939,6260
Tribes of Midgard,30930,8500,2430000,30.93,2430
Days Gone,27380,5300,3960000,27.38,3960
F1 2021,24268,5800,4240000,24.268,4240
Car Mechanic Simulator 2021,22530,1100,769000,22.53,769
Aliens: Fireteam Elite,15550,5700,3020000,15.55,3020
The Ascent ,13930,1000,765000,13.93,765
Hell Let Loose,11714,346,254000,11.714,254
Hood: Outlaws & Legends,8984,4800,3440000,8.984,3440
Wildersmyth,8091,270,142000,8.091,142
Psychonauts 2,7234,4200,1080000,7.234,1080
Scarlet Nexus,6481,2100,1490000,6.481,1490
Ender Lilies,6332,401,280000,6.332,280
King's Bounty II,5919,2900,728000,5.919,728
SnowRunner,5833,1200,884000,5.833,884
Chernobylite,3927,1300,972000,3.927,972
Red Solstice 2,3812,679,216000,3.812,216
Death's Door,3740,5800,1350000,3.74,1350
Police Simulator: Patrol Officers,3330,1300,494000,3.33,494
Maneater,2811,251,184000,2.811,184
Roguebook ,2517,1100,484000,2.517,484
Before We Leave,2290,203,115000,2.29,115
Road 96,2260,6500,2830000,2.26,2830
Carrier Commander 2,2135,132,17000,2.135,17
Lawn Mowing Simulator,2053,817,599000,2.053,599
Dark Deity,2037,245,77000,2.037,77
Grime,1983,1000,757000,1.983,757
Mortal Shell ,1930,736,538000,1.93,538
Shin Megami Tensei III Remaster,1892,467,311000,1.892,311
Patron,1593,420,40000,1.593,40
"Warhammer 40,000: Battlesector",1314,136,51000,1.314,51
Sun Haven ,1226,239,31000,1.226,31
Solasta: Crown of the Magister,1090,160,116000,1.09,116
Frozenheim,1001,222,78000,1.001,78
Death Trash ,936,433,262000,0.936,262
Legend of Mana,747,100,73000,0.747,73
Spellcaster University,634,74,40000,0.634,40