Month,Average Viewers,Average Players
Dec-21,9400,75604.10
Nov-21,13000,69650.10
Oct-21,7600,65557.00
Sep-21,22400,69503.00
Aug-21,11000,83332.20
Jul-21,39800,92823.80
Jun-21,10500,79341.50
May-21,22800,76870.60
Apr-21,17800,77590.30
Mar-21,27100,86369.80
Feb-21,65900,117742.30
Dec-20,25700,61171.70
Nov-20,8800,55408.00
Oct-20,4300,48550.80
Sep-20,4600,46430.50
Aug-20,5900,53287.70
Jul-20,6600,58238.70
Jun-20,6000,50417.70
May-20,5300,57344.70
Apr-20,5200,67504.10
Mar-20,6700,58442.00
Feb-20,6900,50075.20
Jan-20,3800,51620.40
Dec-19,3700,49094.80
Nov-19,3200,43508.00
Oct-19,3000,46704.40
Sep-19,3100,49636.10
Aug-19,7500,58531.20
Jul-19,5900,62260.00
Jun-19,2900,45132.60
May-19,2800,35780.70
Apr-19,2600,38200.80
Mar-19,3100,40725.30
Feb-19,2200,42431.40
Jan-19,2800,46201.30