Month,Average Players,Average Viewers,
Dec-21,20322.50,7500,
Nov-21,4958.70,712,
Oct-21,4705.80,1000,
Sep-21,5157.60,8400,
Aug-21,5131.50,8600,
Jul-21,3576.20,1500,
Jun-21,3419.80,1000,
May-21,4151.60,1800,
Apr-21,3952.30,2700,
Mar-21,2065.30,2600,
Feb-21,1793.00,684,
Jan-21,2044.60,419,
Dec-20,1944.50,141,
Nov-20,2756.00,390,
Oct-20,1675.00,114,
Sep-20,1226.20,128,
Aug-20,1232.10,136,
Jul-20,1177.90,181,
Jun-20,1027.80,70,
May-20,1232.50,216,
Apr-20,1302.80,68,
Mar-20,1182.50,137,
Feb-20,1073.40,110,
Jan-20,1211.30,109,
Dec-19,1564.20,105,
Nov-19,1616.80,135,
Oct-19,1132.20,72,
Sep-19,658.70,21,
Aug-19,851.50,21,
Jul-19,867.80,36,
Jun-19,728.60,67,
May-19,888.80,252,
Apr-19,753.90,26,
Mar-19,865.00,68,
Feb-19,631.20,46,
Jan-19,749.30,71,